codigo,pais,parlamentos2020,Por_Vulnerable_Femenino_2015,Poblacion_Act_Mujeres2015,Gasto_public_educacion_2015,PBI_2015
MMR,Myanmar,16.82539683,63.19999886,41.6583922034989,8.734160423,122.2106391
MNA,Oriente Medio y Norte de África (excluido altos ingresos),18.4320766,39.14864841,20.8314932141488,13,1828.294846
MNG,Mongolia,17.33333333,47.40999913,45.9880186022016,13.5471096,444.9945833
MOZ,Mozambique,42.4,92.97999954,52.30990769043,19.8523407,346.5754492
MUS,Mauricio,20,14.40999985,39.0241873773164,19.45709038,3695.934909
MWI,Malawi,22.91666667,66.51000118,48.4117451780054,21.79789925,163.6142015
MYS,Malasia,14.86486486,25.35999966,37.9830492066951,19.81072998,3492.670125
NAC,América del Norte,28.14136126,4.224408355,46.1804756864508,13.54563999,33320.92229
NAM,Namibia,43.26923077,35.30000019,48.8170333646834,22.57132912,2193.223615
NER,Níger,16.95906433,97.72999954,42.870750722801,18.51218987,232.1873864
NGA,Nigeria,7.222222222,87.35000229,45.7558437038885,9.25551033,497.8415739
NIC,Nicaragua,47.25274725,46.65000057,38.3622216140227,22.28290939,972.8867935
NLD,Países Bajos,33.33333333,11.24000013,46.2231929088376,12.20965004,28272.64325
NOR,Noruega,41.42011834,3.789999902,47.7783919937728,15.60758018,36371.05095
NPL,Nepal,32.72727273,88.89999962,55.4190991865051,16.98966026,214.1067032
NZL,Nueva Zelandia,48.33333333,9.090000033,47.369837864639,16.37351036,15322.22383
OED,Miembros OCDE,31.49901381,11.94171509,44.062845751245,12.9755702,22674.60352
OSS,Otros Estados pequeos,20.94298246,38.29656116,37.7912349097277,13.01430035,3941.000861
PAK,Pakistán,20.1754386,75.04999924,22.4450416901247,13.1872797,454.2761123
PAN,Panamá,22.53521127,28.74999905,39.3809872920057,7.864059925,4082.614583
PER,Perú,26.15384615,57.66000175,45.4064191654611,17.57485962,1924.486419
PHL,Filipinas,27.96052632,41.4800005,39.7017400982624,16.01622009,1122.032017
POL,Polonia,28.69565217,15.02999973,44.8531548060404,11.54141045,4398.081043
PRE,previa al dividendo demográfico,22.86501377,84.82868038,44.6568938580115,13.22008038,447.2339978
PRT,Portugal,40,11.09000021,48.8763497667212,10.13582993,12475.29177
PRY,Paraguay,16.25,41.8599987,39.5991085817984,12.28942013,1694.11121
PST,posterior al dividendo demográfico,32.93535549,7.72152412,45.6048033723464,12.36593533,25549.21184
ROU,Rumania,21.88449848,27.07999992,42.9924160894967,9.094510078,1599.889533
RUS,Federación de Rusia,15.77777778,5.400000215,48.4407647225954,10.86946964,1330.757202
RWA,Rwanda,61.25,77.80999756,51.6467106980162,12.5390501,287.3802065
SAS,Asia meridional,18.92147588,78.64927688,22.9666216700625,13.44387007,438.310721
SEN,Senegal,43.03030303,73.30999947,40.052413213956,23.77827072,688.9988969
SGP,Singapur,29.47368421,5.529999971,41.6480483828166,19.69203758,21796.08444
SLB,Islas Salomón,6.382978723,75.04000378,48.5486366962141,25.20870018,1215.235241
SLV,El Salvador,33.33333333,44.07999945,41.9811789102534,14.42251015,1930.627457
SRB,Serbia,38.8,22.39999962,43.3474343199462,8.87635994,2571.30404
SSA,África al sur del Sahara (excluido altos ingresos),24.87101313,81.73136506,46.4465387188533,16.66482449,614.1088825
SSF,África al sur del Sahara,24.86859012,81.73136506,46.4465387188533,16.66482449,615.0010716
SST,Pequeños Estados,19.91669822,36.16831807,39.0716129970649,13.01430035,4028.834658
SUR,Suriname,29.41176471,10.06999993,40.2229922216169,11.37660027,1904.44518
SVK,República Eslovaca,22.66666667,8.390000269,45.2044030319546,10.0485096,5645.581396
SVN,Eslovenia,27.77777778,11.42999983,45.81485925352,10.07917023,11452.78312
SWE,Suecia,46.99140401,4.53000021,47.7030077869698,15.38288021,30941.07936
TCD,Chad,15.43209877,98.21000099,41.2901273494938,8.899999619,190.5590719
TEA,Asia oriental y el Pacífico (BIRF y la AIF),21.90141968,49.41005475,43.6397569241518,16.01622009,885.9437709
TEC,Europa y Asia central (BIRF y la AIF),24.35665914,17.81918946,44.5082157663615,11.50157022,1890.143526
TGO,Togo,18.68131868,89.8099966,48.3305232031349,16.66498947,329.8164697
THA,Tailandia,15.74642127,50.65999985,45.6560855022134,17.14163589,2033.258009
TJK,Tayikistán,23.80952381,38.64000034,37.6518460268327,16.39336014,177.5596287
TLA,América Latina y el Caribe (BIRF y la AIF),29.54805492,32.82183354,41.2279753545507,16.21810913,3958.158773
TMN,Oriente Medio y Norte de África (BIRF y la AIF),18.4320766,39.21635533,20.8408293608016,12.46226978,1831.744445
TSA,Asia meridional (BIRF y la AIF),18.92147588,78.64927688,22.9666216700625,13.44387007,438.310721
TSS,África al sur del Sahara (BIRF y la AIF),24.86859012,81.73136506,46.4465387188533,16.66482449,615.0010716
TTO,Trinidad y Tobago,26.19047619,11.61000019,41.9886435098978,8.700969696,5387.164386
TUN,Túnez,24.88479263,13.14000034,28.3458301842898,22.66534042,2386.589492
UGA,Uganda,34.8583878,81.92000008,49.1491240885989,13.22008038,261.3479065
UKR,Ucrania,20.80378251,13.12999967,48.9605123580415,13.34130096,635.7644043
UMC,Ingreso mediano alto,26.83683418,40.05923853,43.4886433379278,14.29273033,1798.977761
URY,Uruguay,21.21212121,21.41999972,45.5783752618267,14.72430038,7250.27477
USA,Estados Unidos,27.46478873,3.599999994,46.0579005518947,13.54563999,34515.39023
UZB,Uzbekistán,32,39.59999943,40.2377486236839,22.36525917,702.4807441
VEN,Venezuela,22.15568862,35.59000039,39.9531260143837,15.67998981,4127.108981
VNM,Viet Nam,26.72064777,63.94000053,47.7732314114388,17.11952019,362.9195028
VUT,Vanuatu,0,73.03000307,43.6287037602379,13.48810005,1478.58574
WLD,Mundo,25.58043118,45.42480779,39.2300138864805,13.98165512,5425.049261
WSM,Samoa,10,27.6600008,34.8743893928821,14,1471.205058
ZAF,Sudáfrica,46.75,9.819999993,44.5487497312214,18.69935036,3417.264589
ZMB,Zambia,16.76646707,86.5,47.9015408359498,16.3355999,335.7122914
ZWE,Zimbabwe,31.85185185,75.64000225,51.6278073584673,29.47083092,580.0705709
